○ 범죄 발생 및 검거 현황(전국) [],,,,,,,
죄종별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년
위계·위력·촉탁·승낙살인,검거인원[명],명,-,-,1,2,-
위계·위력·촉탁·승낙살인,남자검거인원[명],명,-,-,1,1,-
위계·위력·촉탁·승낙살인,여자검거인원[명],명,-,-,-,1,-
위계·위력·촉탁·승낙살인,불상검거인원[명],명,-,-,-,-,-
위계·위력·촉탁·승낙살인,법인체[개],개,-,-,-,-,-
강도,발생건수[건],건,1149,967,821,798,663
강도,검거건수[건],건,1168,977,821,801,658
강도,발생건수 대비 검거건수[%],%,101.7,101,100,100.4,99.2
강도,검거인원[명],명,1789,1525,1219,1376,1258
강도,남자검거인원[명],명,1574,1343,1061,1197,1047
강도,여자검거인원[명],명,171,144,132,165,177
강도,불상검거인원[명],명,44,38,26,14,34
강도,법인체[개],개,-,-,-,-,3
강도,발생건수[건],건,213,165,155,127,110
강도,검거건수[건],건,219,166,157,129,108
강도,발생건수 대비 검거건수[%],%,102.8,100.6,101.3,101.6,98.2
강도,검거인원[명],명,200,166,148,135,106
강도,남자검거인원[명],명,190,151,133,117,91
강도,여자검거인원[명],명,8,14,13,17,15
강도,불상검거인원[명],명,2,1,2,1,-
강도,법인체[개],개,-,-,-,-,2
준강도,발생건수[건],건,139,109,100,75,77
준강도,검거건수[건],건,135,111,98,77,77
준강도,발생건수 대비 검거건수[%],%,97.1,101.8,98,102.7,100
준강도,검거인원[명],명,148,107,97,80,85
준강도,남자검거인원[명],명,134,100,90,71,70
준강도,여자검거인원[명],명,14,7,7,9,15
준강도,불상검거인원[명],명,-,-,-,-,-
준강도,법인체[개],개,-,-,-,-,-
특수강도,발생건수[건],건,343,324,262,316,234
특수강도,검거건수[건],건,349,329,260,312,233
특수강도,발생건수 대비 검거건수[%],%,101.7,101.5,99.2,98.7,99.6
특수강도,검거인원[명],명,707,558,479,548,527
특수강도,남자검거인원[명],명,586,479,398,482,431
특수강도,여자검거인원[명],명,101,59,64,58,71
특수강도,불상검거인원[명],명,20,20,17,8,25
특수강도,법인체[개],개,-,-,-,-,1
준특수강도,발생건수[건],건,4,2,1,5,2
준특수강도,검거건수[건],건,5,2,1,5,2
준특수강도,발생건수 대비 검거건수[%],%,125,100,100,100,100
준특수강도,검거인원[명],명,7,4,1,8,2
준특수강도,남자검거인원[명],명,7,3,1,7,2
준특수강도,여자검거인원[명],명,-,1,-,1,-
준특수강도,불상검거인원[명],명,-,-,-,-,-
준특수강도,법인체[개],개,-,-,-,-,-
강도상해·치상,발생건수[건],건,398,311,253,233,209
강도상해·치상,검거건수[건],건,403,312,254,235,211
강도상해·치상,발생건수 대비 검거건수[%],%,101.3,100.3,100.4,100.9,101
강도상해·치상,검거인원[명],명,634,595,426,558,487
강도상해·치상,남자검거인원[명],명,580,527,378,475,409
강도상해·치상,여자검거인원[명],명,45,59,43,79,73
강도상해·치상,불상검거인원[명],명,9,9,5,4,5
강도상해·치상,법인체[개],개,-,-,-,-,-
강도살인·치사,발생건수[건],건,22,26,19,22,19
강도살인·치사,검거건수[건],건,22,26,18,22,16
강도살인·치사,발생건수 대비 검거건수[%],%,100,100,94.7,100,84.2
강도살인·치사,검거인원[명],명,28,32,34,29,22
강도살인·치사,남자검거인원[명],명,27,28,30,28,21
강도살인·치사,여자검거인원[명],명,1,4,3,1,1
강도살인·치사,불상검거인원[명],명,-,-,1,-,-
강도살인·치사,법인체[개],개,-,-,-,-,-
해상강도(살인·치사·상해·치상),발생건수[건],건,-,-,-,-,-
해상강도(살인·치사·상해·치상),검거건수[건],건,-,-,-,-,-
해상강도(살인·치사·상해·치상),발생건수 대비 검거건수[%],%,-,-,-,-,-
해상강도(살인·치사·상해·치상),검거인원[명],명,-,-,-,-,-
해상강도(살인·치사·상해·치상),남자검거인원[명],명,-,-,-,-,-
해상강도(살인·치사·상해·치상),여자검거인원[명],명,-,-,-,-,-
해상강도(살인·치사·상해·치상),불상검거인원[명],명,-,-,-,-,-
해상강도(살인·치사·상해·치상),법인체[개],개,-,-,-,-,-
인질강도,발생건수[건],건,10,7,3,2,5
인질강도,검거건수[건],건,11,6,3,1,4
인질강도,발생건수 대비 검거건수[%],%,110,85.7,100,50,80
인질강도,검거인원[명],명,43,35,13,3,20
인질강도,남자검거인원[명],명,28,30,11,2,15
인질강도,여자검거인원[명],명,2,-,2,-,2
인질강도,불상검거인원[명],명,13,5,-,1,3
인질강도,법인체[개],개,-,-,-,-,-
강도강간,발생건수[건],건,16,19,24,10,5
강도강간,검거건수[건],건,20,21,26,11,5
강도강간,발생건수 대비 검거건수[%],%,125,110.5,108.3,110,100
강도강간,검거인원[명],명,18,22,18,10,6
강도강간,남자검거인원[명],명,18,19,17,10,5
강도강간,여자검거인원[명],명,-,-,-,-,-
강도강간,불상검거인원[명],명,-,3,1,-,1
강도강간,법인체[개],개,-,-,-,-,-
(특수·인질·해상)강도(상습),발생건수[건],건,1,-,-,-,-
(특수·인질·해상)강도(상습),검거건수[건],건,1,-,-,-,-
(특수·인질·해상)강도(상습),발생건수 대비 검거건수[%],%,100,-,-,-,-
(특수·인질·해상)강도(상습),검거인원[명],명,1,1,-,-,-
(특수·인질·해상)강도(상습),남자검거인원[명],명,1,1,-,-,-
(특수·인질·해상)강도(상습),여자검거인원[명],명,-,-,-,-,-
(특수·인질·해상)강도(상습),불상검거인원[명],명,-,-,-,-,-
(특수·인질·해상)강도(상습),법인체[개],개,-,-,-,-,-
특가법(강도),발생건수[건],건,2,2,4,7,2
특가법(강도),검거건수[건],건,2,2,4,7,2
특가법(강도),발생건수 대비 검거건수[%],%,100,100,100,100,100
특가법(강도),검거인원[명],명,2,3,3,4,2
특가법(강도),남자검거인원[명],명,2,3,3,4,2
특가법(강도),여자검거인원[명],명,-,-,-,-,-
특가법(강도),불상검거인원[명],명,-,-,-,-,-
특가법(강도),법인체[개],개,-,-,-,-,-
특가법(강도상해재범),발생건수[건],건,1,2,-,1,-
특가법(강도상해재범),검거건수[건],건,1,2,-,2,-
특가법(강도상해재범),발생건수 대비 검거건수[%],%,100,100,-,200,-
특가법(강도상해재범),검거인원[명],명,1,2,-,1,1
특가법(강도상해재범),남자검거인원[명],명,1,2,-,1,1
특가법(강도상해재범),여자검거인원[명],명,-,-,-,-,-
특가법(강도상해재범),불상검거인원[명],명,-,-,-,-,-
특가법(강도상해재범),법인체[개],개,-,-,-,-,-
강간,발생건수[건],건,5155,5223,5293,5310,5313
강간,검거건수[건],건,5097,5134,5206,5197,5183
강간,발생건수 대비 검거건수[%],%,98.9,98.3,98.4,97.9,97.6
강간,검거인원[명],명,5916,6012,6087,6230,6243
강간,남자검거인원[명],명,5816,5914,5923,6081,6090
강간,여자검거인원[명],명,67,75,94,96,104
강간,불상검거인원[명],명,33,23,70,53,49
강간,법인체[개],개,-,-,-,-,-
강간,발생건수[건],건,2151,2118,2214,2265,2316
강간,검거건수[건],건,2125,2078,2166,2215,2253
강간,발생건수 대비 검거건수[%],%,98.8,98.1,97.8,97.8,97.3
강간,검거인원[명],명,2268,2243,2362,2480,2520
강간,남자검거인원[명],명,2240,2220,2323,2432,2457
강간,여자검거인원[명],명,19,17,26,29,44
강간,불상검거인원[명],명,9,6,13,19,19
강간,법인체[개],개,-,-,-,-,-
강간(상습),발생건수[건],건,1,2,3,2,4
강간(상습),검거건수[건],건,1,2,3,2,4
강간(상습),발생건수 대비 검거건수[%],%,100,100,100,100,100
강간(상습),검거인원[명],명,-,2,3,1,4
강간(상습),남자검거인원[명],명,-,2,3,1,4
강간(상습),여자검거인원[명],명,-,-,-,-,-
강간(상습),불상검거인원[명],명,-,-,-,-,-
강간(상습),법인체[개],개,-,-,-,-,-
준강간,발생건수[건],건,934,1082,1074,1160,1128
준강간,검거건수[건],건,922,1053,1066,1135,1102
준강간,발생건수 대비 검거건수[%],%,98.7,97.3,99.3,97.8,97.7
준강간,검거인원[명],명,990,1182,1166,1295,1290
준강간,남자검거인원[명],명,984,1170,1143,1276,1275
준강간,여자검거인원[명],명,2,4,11,9,9
준강간,불상검거인원[명],명,4,8,12,10,6
준강간,법인체[개],개,-,-,-,-,-
준강간(상습),발생건수[건],건,-,-,3,2,1
준강간(상습),검거건수[건],건,-,-,3,2,1
준강간(상습),발생건수 대비 검거건수[%],%,-,-,100,100,100
준강간(상습),검거인원[명],명,-,-,3,2,1
준강간(상습),남자검거인원[명],명,-,-,3,2,1
준강간(상습),여자검거인원[명],명,-,-,-,-,-
준강간(상습),불상검거인원[명],명,-,-,-,-,-
준강간(상습),법인체[개],개,-,-,-,-,-
강간상해·치상,발생건수[건],건,371,360,330,328,274
강간상해·치상,검거건수[건],건,367,361,330,326,265
강간상해·치상,발생건수 대비 검거건수[%],%,98.9,100.3,100,99.4,96.7
강간상해·치상,검거인원[명],명,389,381,349,345,304
강간상해·치상,남자검거인원[명],명,389,379,345,338,296
강간상해·치상,여자검거인원[명],명,-,2,3,5,7
강간상해·치상,불상검거인원[명],명,-,-,1,2,1
강간상해·치상,법인체[개],개,-,-,-,-,-
강간살인·치사,발생건수[건],건,4,2,3,-,2
강간살인·치사,검거건수[건],건,4,2,4,-,2
강간살인·치사,발생건수 대비 검거건수[%],%,100,100,133.3,-,100
강간살인·치사,검거인원[명],명,3,3,5,-,2
강간살인·치사,남자검거인원[명],명,3,2,5,-,2
강간살인·치사,여자검거인원[명],명,-,-,-,-,-
강간살인·치사,불상검거인원[명],명,-,1,-,-,-
강간살인·치사,법인체[개],개,-,-,-,-,-
미성년자간음(심신미약자),발생건수[건],건,9,4,16,6,24
미성년자간음(심신미약자),검거건수[건],건,10,4,16,6,23
미성년자간음(심신미약자),발생건수 대비 검거건수[%],%,111.1,100,100,100,95.8
미성년자간음(심신미약자),검거인원[명],명,10,4,24,6,29
미성년자간음(심신미약자),남자검거인원[명],명,10,4,23,6,29
미성년자간음(심신미약자),여자검거인원[명],명,-,-,1,-,-
미성년자간음(심신미약자),불상검거인원[명],명,-,-,-,-,-
미성년자간음(심신미약자),법인체[개],개,-,-,-,-,-
업무상위력에의한간음,발생건수[건],건,18,24,30,27,32
업무상위력에의한간음,검거건수[건],건,18,23,29,26,32
업무상위력에의한간음,발생건수 대비 검거건수[%],%,100,95.8,96.7,96.3,100
업무상위력에의한간음,검거인원[명],명,16,28,35,38,37
업무상위력에의한간음,남자검거인원[명],명,16,28,33,37,36
업무상위력에의한간음,여자검거인원[명],명,-,-,2,1,1
업무상위력에의한간음,불상검거인원[명],명,-,-,-,-,-
업무상위력에의한간음,법인체[개],개,-,-,-,-,-
친족관계에의한강간,발생건수[건],건,162,146,160,116,118
친족관계에의한강간,검거건수[건],건,160,145,161,110,110
친족관계에의한강간,발생건수 대비 검거건수[%],%,98.8,99.3,100.6,94.8,93.2
친족관계에의한강간,검거인원[명],명,181,151,159,122,123
친족관계에의한강간,남자검거인원[명],명,174,149,158,117,122
친족관계에의한강간,여자검거인원[명],명,7,2,1,5,1
친족관계에의한강간,불상검거인원[명],명,-,-,-,-,-
친족관계에의한강간,법인체[개],개,-,-,-,-,-
장애인에대한강간·간음,발생건수[건],건,362,331,387,350,368
장애인에대한강간·간음,검거건수[건],건,353,323,371,338,359
장애인에대한강간·간음,발생건수 대비 검거건수[%],%,97.5,97.6,95.9,96.6,97.6
장애인에대한강간·간음,검거인원[명],명,435,398,475,410,448
장애인에대한강간·간음,남자검거인원[명],명,426,384,439,401,434
장애인에대한강간·간음,여자검거인원[명],명,3,9,8,3,3
장애인에대한강간·간음,불상검거인원[명],명,6,5,28,6,11
장애인에대한강간·간음,법인체[개],개,-,-,-,-,-
청소년에대한강간·간음,발생건수[건],건,649,664,617,598,555
청소년에대한강간·간음,검거건수[건],건,639,660,611,589,547
청소년에대한강간·간음,발생건수 대비 검거건수[%],%,98.5,99.4,99,98.5,98.6
청소년에대한강간·간음,검거인원[명],명,822,819,768,735,729
청소년에대한강간·간음,남자검거인원[명],명,788,798,740,720,705
청소년에대한강간·간음,여자검거인원[명],명,24,19,20,12,20
청소년에대한강간·간음,불상검거인원[명],명,10,2,8,3,4
청소년에대한강간·간음,법인체[개],개,-,-,-,-,-
미성년자의제강간,발생건수[건],건,40,42,64,71,174
미성년자의제강간,검거건수[건],건,40,42,60,67,172
미성년자의제강간,발생건수 대비 검거건수[%],%,100,100,93.8,94.4,98.9
미성년자의제강간,검거인원[명],명,52,67,78,84,216
미성년자의제강간,남자검거인원[명],명,51,65,75,80,209
미성년자의제강간,여자검거인원[명],명,-,2,1,-,5
미성년자의제강간,불상검거인원[명],명,1,-,2,4,2
미성년자의제강간,법인체[개],개,-,-,-,-,-
13세미만미성년자강간·간음,발생건수[건],건,86,90,79,86,64
13세미만미성년자강간·간음,검거건수[건],건,87,88,76,86,62
13세미만미성년자강간·간음,발생건수 대비 검거건수[%],%,101.2,97.8,96.2,100,96.9
13세미만미성년자강간·간음,검거인원[명],명,105,104,90,101,70
13세미만미성년자강간·간음,남자검거인원[명],명,100,98,86,100,65
13세미만미성년자강간·간음,여자검거인원[명],명,5,6,2,1,5
13세미만미성년자강간·간음,불상검거인원[명],명,-,-,2,-,-
13세미만미성년자강간·간음,법인체[개],개,-,-,-,-,-
특수강간(준),발생건수[건],건,220,235,204,207,162
특수강간(준),검거건수[건],건,227,233,202,204,163
특수강간(준),발생건수 대비 검거건수[%],%,103.2,99.1,99,98.6,100.6
특수강간(준),검거인원[명],명,494,487,453,511,364
특수강간(준),남자검거인원[명],명,484,473,436,472,352
특수강간(준),여자검거인원[명],명,7,13,16,31,8
특수강간(준),불상검거인원[명],명,3,1,1,8,4
특수강간(준),법인체[개],개,-,-,-,-,-
주거침입강간,발생건수[건],건,120,105,91,75,81
주거침입강간,검거건수[건],건,115,102,91,75,78
주거침입강간,발생건수 대비 검거건수[%],%,95.8,97.1,100,100,96.3
주거침입강간,검거인원[명],명,126,118,100,85,91
주거침입강간,남자검거인원[명],명,126,117,95,84,89
주거침입강간,여자검거인원[명],명,-,1,3,-,-
주거침입강간,불상검거인원[명],명,-,-,2,1,2
주거침입강간,법인체[개],개,-,-,-,-,-
특수절도강간,발생건수[건],건,3,1,-,-,-
특수절도강간,검거건수[건],건,3,1,-,-,-
특수절도강간,발생건수 대비 검거건수[%],%,100,100,-,-,-
특수절도강간,검거인원[명],명,3,1,-,-,1
특수절도강간,남자검거인원[명],명,3,1,-,-,1
특수절도강간,여자검거인원[명],명,-,-,-,-,-
특수절도강간,불상검거인원[명],명,-,-,-,-,-
특수절도강간,법인체[개],개,-,-,-,-,-
특수강도강간,발생건수[건],건,25,17,18,17,10
특수강도강간,검거건수[건],건,26,17,17,16,10
특수강도강간,발생건수 대비 검거건수[%],%,104,100,94.4,94.1,100
특수강도강간,검거인원[명],명,22,24,17,15,14
특수강도강간,남자검거인원[명],명,22,24,16,15,13
특수강도강간,여자검거인원[명],명,-,-,-,-,1
특수강도강간,불상검거인원[명],명,-,-,1,-,-
특수강도강간,법인체[개],개,-,-,-,-,-
아동학대처벌법위반(상습강간·간음),발생건수[건],건,-,-,-,-,-
아동학대처벌법위반(상습강간·간음),검거건수[건],건,-,-,-,-,-
아동학대처벌법위반(상습강간·간음),발생건수 대비 검거건수[%],%,-,-,-,-,-
아동학대처벌법위반(상습강간·간음),검거인원[명],명,-,-,-,-,-
아동학대처벌법위반(상습강간·간음),남자검거인원[명],명,-,-,-,-,-
아동학대처벌법위반(상습강간·간음),여자검거인원[명],명,-,-,-,-,-
아동학대처벌법위반(상습강간·간음),불상검거인원[명],명,-,-,-,-,-
아동학대처벌법위반(상습강간·간음),법인체[개],개,-,-,-,-,-
유사강간,발생건수[건],건,583,636,776,782,823
유사강간,검거건수[건],건,568,631,758,768,796
유사강간,발생건수 대비 검거건수[%],%,97.4,99.2,97.7,98.2,96.7
유사강간,검거인원[명],명,606,699,861,908,959
유사강간,남자검거인원[명],명,597,683,832,875,902
유사강간,여자검거인원[명],명,7,14,21,25,43
유사강간,불상검거인원[명],명,2,2,8,8,14
유사강간,법인체[개],개,-,-,-,-,-
유사강간,발생건수[건],건,306,289,377,376,407
유사강간,검거건수[건],건,298,285,369,374,385
유사강간,발생건수 대비 검거건수[%],%,97.4,98.6,97.9,99.5,94.6
유사강간,검거인원[명],명,306,318,404,421,457
유사강간,남자검거인원[명],명,302,305,391,400,424
유사강간,여자검거인원[명],명,2,11,11,17,23
유사강간,불상검거인원[명],명,2,2,2,4,10
유사강간,법인체[개],개,-,-,-,-,-
유사강간(상습),발생건수[건],건,-,-,-,-,-
유사강간(상습),검거건수[건],건,-,-,-,-,-
유사강간(상습),발생건수 대비 검거건수[%],%,-,-,-,-,-
유사강간(상습),검거인원[명],명,-,-,-,-,-
유사강간(상습),남자검거인원[명],명,-,-,-,-,-
유사강간(상습),여자검거인원[명],명,-,-,-,-,-
유사강간(상습),불상검거인원[명],명,-,-,-,-,-
유사강간(상습),법인체[개],개,-,-,-,-,-
준유사강간,발생건수[건],건,48,84,123,136,138
준유사강간,검거건수[건],건,47,82,122,134,136
준유사강간,발생건수 대비 검거건수[%],%,97.9,97.6,99.2,98.5,98.6
준유사강간,검거인원[명],명,52,85,139,157,160
준유사강간,남자검거인원[명],명,51,85,135,155,156
준유사강간,여자검거인원[명],명,1,-,1,2,3
준유사강간,불상검거인원[명],명,-,-,3,-,1
준유사강간,법인체[개],개,-,-,-,-,-
준유사강간(상습),발생건수[건],건,-,-,-,-,-
준유사강간(상습),검거건수[건],건,-,-,-,-,-
준유사강간(상습),발생건수 대비 검거건수[%],%,-,-,-,-,-
준유사강간(상습),검거인원[명],명,-,-,-,1,-
준유사강간(상습),남자검거인원[명],명,-,-,-,1,-
준유사강간(상습),여자검거인원[명],명,-,-,-,-,-
준유사강간(상습),불상검거인원[명],명,-,-,-,-,-
준유사강간(상습),법인체[개],개,-,-,-,-,-
유사강간상해·치상,발생건수[건],건,25,35,36,17,40
유사강간상해·치상,검거건수[건],건,24,35,35,15,41
유사강간상해·치상,발생건수 대비 검거건수[%],%,96,100,97.2,88.2,102.5
유사강간상해·치상,검거인원[명],명,30,37,36,19,45
유사강간상해·치상,남자검거인원[명],명,27,37,35,19,43
유사강간상해·치상,여자검거인원[명],명,3,-,1,-,2
유사강간상해·치상,불상검거인원[명],명,-,-,-,-,-
유사강간상해·치상,법인체[개],개,-,-,-,-,-
유사강간살인·치사,발생건수[건],건,-,-,-,-,-
유사강간살인·치사,검거건수[건],건,-,-,-,-,-
유사강간살인·치사,발생건수 대비 검거건수[%],%,-,-,-,-,-
유사강간살인·치사,검거인원[명],명,-,-,-,-,-
유사강간살인·치사,남자검거인원[명],명,-,-,-,-,-
유사강간살인·치사,여자검거인원[명],명,-,-,-,-,-
유사강간살인·치사,불상검거인원[명],명,-,-,-,-,-
유사강간살인·치사,법인체[개],개,-,-,-,-,-
미성년자의제유사강간,발생건수[건],건,2,5,7,6,18
미성년자의제유사강간,검거건수[건],건,2,5,7,5,17
미성년자의제유사강간,발생건수 대비 검거건수[%],%,100,100,100,83.3,94.4
미성년자의제유사강간,검거인원[명],명,2,5,10,10,23
미성년자의제유사강간,남자검거인원[명],명,2,4,10,9,20
미성년자의제유사강간,여자검거인원[명],명,-,1,-,1,2
미성년자의제유사강간,불상검거인원[명],명,-,-,-,-,1
미성년자의제유사강간,법인체[개],개,-,-,-,-,-
유사성행위,발생건수[건],건,185,205,207,232,204
유사성행위,검거건수[건],건,184,206,199,225,202
유사성행위,발생건수 대비 검거건수[%],%,99.5,100.5,96.1,97,99
유사성행위,검거인원[명],명,200,234,241,282,258
유사성행위,남자검거인원[명],명,199,232,232,273,244
유사성행위,여자검거인원[명],명,1,2,7,5,13
유사성행위,불상검거인원[명],명,-,-,2,4,1
유사성행위,법인체[개],개,-,-,-,-,-
주거침입유사강간,발생건수[건],건,13,16,22,14,13
주거침입유사강간,검거건수[건],건,10,16,22,14,12
주거침입유사강간,발생건수 대비 검거건수[%],%,76.9,100,100,100,92.3
주거침입유사강간,검거인원[명],명,13,18,24,15,13
주거침입유사강간,남자검거인원[명],명,13,18,23,15,12
